商辦租金指數類別,期別,季指數,季變動率（%）,標準租金單價（元/坪/月）
全市,103Q2,96.68,-,"1,345"
全市,103Q3,97.79,1.15,"1,360"
全市,103Q4,99.20,1.44,"1,380"
全市,104Q1,99.90,0.71,"1,390"
全市,104Q2,100.00,0.10,"1,391"
全市,104Q3,100.68,0.68,"1,401"
全市,104Q4,101.44,0.75,"1,411"
全市,105Q1,102.37,0.92,"1,424"
全市,105Q2,103.19,0.80,"1,435"
全市,105Q3,103.40,0.21,"1,438"
全市,105Q4,103.90,0.48,"1,445"
全市,106Q1,104.09,0.19,"1,448"
全市,106Q2,105.81,1.65,"1,472"
全市,106Q3,105.84,0.03,"1,472"
全市,106Q4,105.80,-0.04,"1,472"
全市,107Q1,106.17,0.35,"1,477"
全市,107Q2,106.31,0.13,"1,479"
全市,107Q3,105.68,-0.60,"1,470"
全市,107Q4,105.47,-0.20,"1,467"
全市,108Q1,105.37,-0.10,"1,466"
全市,108Q2,105.25,-0.11,"1,464"
全市,108Q3,106.05,0.76,"1,475"
全市,108Q4,105.69,-0.34,"1,470"
全市,109Q1,106.34,0.62,"1,479"
全市,109Q2,105.80,-0.51,"1,472"
全市,109Q3,107.34,1.45,"1,493"
全市,109Q4,106.69,-0.61,"1,484"
全市,110Q1,106.84,0.15,"1,486"
全市,110Q2,107.30,0.43,"1,493"
全市,110Q3,107.91,0.57,"1,501"
全市,110Q4,108.18,0.25,"1,505"
全市,111Q1,107.88,-0.28,"1,501"
全市,111Q2,108.52,0.59,"1,510"
全市,111Q3,109.14,0.57,"1,518"
全市,111Q4,109.21,0.07,"1,519"
全市,112Q1,110.38,1.07,"1,535"
全市,112Q2,111.95,1.43,"1,557"
全市,112Q3,113.37,1.27,"1,577"
全市,112Q4,114.89,1.34,"1,598"
全市,113Q1,115.74,0.74,"1,610"
全市,113Q2,115.62,-0.10,"1,608"
全市,113Q3,116.08,0.40,"1,615"
全市,113Q4,116.86,0.67,"1,626"
全市,114Q1,117.06,0.17,"1,628"
全市,114Q2,117.61,0.47,"1,636"
全市,114Q3,118.10,0.42,"1,643"
全市,114Q4,119.08,0.83,"1,656"
主要路段,103Q2,99.97,-,"2,466"
主要路段,103Q3,100.20,0.23,"2,472"
主要路段,103Q4,100.95,0.75,"2,490"
主要路段,104Q1,100.51,-0.43,"2,480"
主要路段,104Q2,100.00,-0.51,"2,467"
主要路段,104Q3,99.56,-0.44,"2,456"
主要路段,104Q4,99.94,0.38,"2,466"
主要路段,105Q1,99.43,-0.51,"2,453"
主要路段,105Q2,100.12,0.70,"2,470"
主要路段,105Q3,99.97,-0.15,"2,466"
主要路段,105Q4,99.24,-0.73,"2,448"
主要路段,106Q1,100.37,1.14,"2,476"
主要路段,106Q2,100.82,0.45,"2,487"
主要路段,106Q3,100.38,-0.43,"2,477"
主要路段,106Q4,101.67,1.28,"2,508"
主要路段,107Q1,105.38,3.65,"2,600"
主要路段,107Q2,105.53,0.14,"2,604"
主要路段,107Q3,107.67,2.03,"2,656"
主要路段,107Q4,106.07,-1.49,"2,617"
主要路段,108Q1,109.19,2.94,"2,694"
主要路段,108Q2,108.55,-0.58,"2,678"
主要路段,108Q3,109.19,0.58,"2,694"
主要路段,108Q4,110.04,0.78,"2,715"
主要路段,109Q1,111.49,1.32,"2,750"
主要路段,109Q2,111.80,0.28,"2,758"
主要路段,109Q3,112.68,0.79,"2,780"
主要路段,109Q4,112.72,0.04,"2,781"
主要路段,110Q1,112.54,-0.16,"2,776"
主要路段,110Q2,112.89,0.31,"2,785"
主要路段,110Q3,113.21,0.29,"2,793"
主要路段,110Q4,113.57,0.32,"2,802"
主要路段,111Q1,113.41,-0.14,"2,798"
主要路段,111Q2,114.22,0.71,"2,818"
主要路段,111Q3,115.02,0.69,"2,838"
主要路段,111Q4,116.01,0.86,"2,862"
主要路段,112Q1,115.75,-0.22,"2,856"
主要路段,112Q2,116.33,0.50,"2,870"
主要路段,112Q3,117.13,0.68,"2,890"
主要路段,112Q4,119.13,1.71,"2,939"
主要路段,113Q1,119.60,0.40,"2,951"
主要路段,113Q2,118.93,-0.56,"2,934"
主要路段,113Q3,119.19,0.22,"2,941"
主要路段,113Q4,120.10,0.76,"2,963"
主要路段,114Q1,119.86,-0.20,"2,957"
主要路段,114Q2,120.47,0.51,"2,972"
主要路段,114Q3,121.16,0.57,"2,989"
主要路段,114Q4,122.21,0.87,"3,015"

