縣市別代碼,年別,基本分類,原始值[統計數值],年增率[%]
63000,87年,總指數,79.77,--
63000,87年,一.食物類,60.59,--
63000,87年,(一)穀類及其製品,63.62,--
63000,87年,(二)肉類,53.94,--
63000,87年,(三)肉類製品,66.38,--
63000,87年,(四)蛋類,66.28,--
63000,87年,(五)水產品,39.19,--
63000,87年,(六)加工水產品,53.14,--
63000,87年,(七)蔬菜,42.34,--
63000,87年,(八)加工蔬菜,61.06,--
63000,87年,(九)水果,66.55,--
63000,87年,(十)加工水果,70.65,--
63000,87年,(十一)乳類,64.9,--
63000,87年,(十二)食用油,59.86,--
63000,87年,(十三)調味品,74.24,--
63000,87年,(十四)酒,65.07,--
63000,87年,(十五)非酒精性飲料及材料,91.24,--
63000,87年,(十六)調理食品,61.86,--
63000,87年,(十七)外食費,69.99,--
63000,87年,(十八)其他食品,65.37,--
63000,87年,二.衣著類,91.34,--
63000,87年,(一)成衣,93.77,--
63000,87年,(二)鞋類,87.95,--
63000,87年,(三)衣著服務及配件,79.94,--
63000,87年,三.居住類,94.84,--
63000,87年,(一)房租,95.77,--
63000,87年,(二)住宅維修費,76.57,--
63000,87年,(三)家庭用品,90.4,--
63000,87年,(四)家庭管理費用,90.51,--
63000,87年,(五)水電燃氣,97.5,--
63000,87年,四.交通及通訊類,84.46,--
63000,87年,(一)交通及通訊設備,134.12,--
63000,87年,(二)油料費,59.61,--
63000,87年,(三)交通服務及維修零件,83.54,--
63000,87年,五.醫藥保健類,72.26,--
63000,87年,(一)醫療費用,63.48,--
63000,87年,(二)藥品及保健食品,70.17,--
63000,87年,(三)醫療保健器材,132.97,--
63000,87年,六.教養娛樂類,84.41,--
63000,87年,(一)教養費用,104.07,--
63000,87年,(二)娛樂費用,63.32,--
63000,87年,七.雜項類,79.44,--
63000,87年,(一)香菸及檳榔,33.38,--
63000,87年,(二)美容及衛生用品,89.77,--
63000,87年,(三)個人隨身用品,68.27,--
63000,87年,(四)個人照顧服務費,84.66,--
63000,87年,(三)理容服務費,77.14,--
63000,87年,(四)其他,83.43,--
63000,88年,總指數,80.08,0.39
63000,88年,一.食物類,60.53,-0.1
63000,88年,(一)穀類及其製品,65.18,2.45
63000,88年,(二)肉類,59.49,10.29
63000,88年,(三)肉類製品,66.34,-0.06
63000,88年,(四)蛋類,65.56,-1.09
63000,88年,(五)水產品,41.35,5.51
63000,88年,(六)加工水產品,53.86,1.35
63000,88年,(七)蔬菜,34.32,-18.94
63000,88年,(八)加工蔬菜,61.19,0.21
63000,88年,(九)水果,59.93,-9.95
63000,88年,(十)加工水果,70.64,-0.01
63000,88年,(十一)乳類,64.94,0.06
63000,88年,(十二)食用油,60.13,0.45
63000,88年,(十三)調味品,74.67,0.58
63000,88年,(十四)酒,65.87,1.23
63000,88年,(十五)非酒精性飲料及材料,91.4,0.18
63000,88年,(十六)調理食品,63.7,2.97
63000,88年,(十七)外食費,71.37,1.97
63000,88年,(十八)其他食品,65.47,0.15
63000,88年,二.衣著類,93.79,2.68
63000,88年,(一)成衣,96.85,3.28
63000,88年,(二)鞋類,88.02,0.08
63000,88年,(三)衣著服務及配件,80.81,1.09
63000,88年,三.居住類,94.61,-0.24
63000,88年,(一)房租,95.83,0.06
63000,88年,(二)住宅維修費,77.56,1.29
63000,88年,(三)家庭用品,89.75,-0.72
63000,88年,(四)家庭管理費用,90.6,0.1
63000,88年,(五)水電燃氣,94.11,-3.48
63000,88年,四.交通及通訊類,86.29,2.17
63000,88年,(一)交通及通訊設備,137.01,2.15
63000,88年,(二)油料費,57.12,-4.18
63000,88年,(三)交通服務及維修零件,86.77,3.87
63000,88年,五.醫藥保健類,74.84,3.57
63000,88年,(一)醫療費用,68.11,7.29
63000,88年,(二)藥品及保健食品,71.71,2.19
63000,88年,(三)醫療保健器材,126.94,-4.53
