縣市別代碼,年月別,商品性質別分類,原始值[統計數值],年增率[%]
63000,87年1月,總指數(含食物),80.43,--
63000,87年1月,商品類(含食物),76.27,--
63000,87年1月,商品類(不含食物),99.09,--
63000,87年1月,商品類-非耐久性消費品(含食物),61.65,--
63000,87年1月,商品類-非耐久性消費品(不含食物),80.27,--
63000,87年1月,商品類-半耐久性消費品,92.74,--
63000,87年1月,商品類-耐久性消費品,148.57,--
63000,87年1月,服務類,83.51,--
63000,87年1月,服務類(不含食物),86.57,--
63000,87年1月,服務類-外食費,69.62,--
63000,87年1月,服務類-衣著,68.15,--
63000,87年1月,服務類-居住,96.43,--
63000,87年1月,服務類-交通及通訊,83.2,--
63000,87年1月,服務類-醫藥保健,64.48,--
63000,87年1月,服務類-教養娛樂,67.14,--
63000,87年1月,服務類-教養,79.68,--
63000,87年1月,服務類-娛樂,56.25,--
63000,87年1月,服務類-雜項,105.89,--
63000,87年2月,總指數(含食物),78.88,--
63000,87年2月,商品類(含食物),76.45,--
63000,87年2月,商品類(不含食物),97.87,--
63000,87年2月,商品類-非耐久性消費品(含食物),62.72,--
63000,87年2月,商品類-非耐久性消費品(不含食物),80.53,--
63000,87年2月,商品類-半耐久性消費品,88.2,--
63000,87年2月,商品類-耐久性消費品,149.55,--
63000,87年2月,服務類,80.61,--
63000,87年2月,服務類(不含食物),82.92,--
63000,87年2月,服務類-外食費,70.38,--
63000,87年2月,服務類-衣著,68.15,--
63000,87年2月,服務類-居住,95.49,--
63000,87年2月,服務類-交通及通訊,82.83,--
63000,87年2月,服務類-醫藥保健,64.48,--
63000,87年2月,服務類-教養娛樂,64.93,--
63000,87年2月,服務類-教養,79.68,--
63000,87年2月,服務類-娛樂,52.45,--
63000,87年2月,服務類-雜項,80.48,--
63000,87年3月,總指數(含食物),79.13,--
63000,87年3月,商品類(含食物),77.3,--
63000,87年3月,商品類(不含食物),97.56,--
63000,87年3月,商品類-非耐久性消費品(含食物),64.05,--
63000,87年3月,商品類-非耐久性消費品(不含食物),80.58,--
63000,87年3月,商品類-半耐久性消費品,87.06,--
63000,87年3月,商品類-耐久性消費品,149.8,--
63000,87年3月,服務類,80.34,--
63000,87年3月,服務類(不含食物),83.03,--
63000,87年3月,服務類-外食費,68.27,--
63000,87年3月,服務類-衣著,68.15,--
63000,87年3月,服務類-居住,95.52,--
63000,87年3月,服務類-交通及通訊,82.15,--
63000,87年3月,服務類-醫藥保健,64.48,--
63000,87年3月,服務類-教養娛樂,65.47,--
63000,87年3月,服務類-教養,79.7,--
63000,87年3月,服務類-娛樂,53.37,--
63000,87年3月,服務類-雜項,80.48,--
63000,87年4月,總指數(含食物),79.32,--
63000,87年4月,商品類(含食物),78.29,--
63000,87年4月,商品類(不含食物),100.18,--
63000,87年4月,商品類-非耐久性消費品(含食物),63.81,--
63000,87年4月,商品類-非耐久性消費品(不含食物),80.86,--
63000,87年4月,商品類-半耐久性消費品,95.16,--
63000,87年4月,商品類-耐久性消費品,148.61,--
63000,87年4月,服務類,79.91,--
63000,87年4月,服務類(不含食物),82.5,--
63000,87年4月,服務類-外食費,68.29,--
63000,87年4月,服務類-衣著,62.86,--
63000,87年4月,服務類-居住,95.6,--
63000,87年4月,服務類-交通及通訊,80.85,--
63000,87年4月,服務類-醫藥保健,64.48,--
63000,87年4月,服務類-教養娛樂,64.13,--
