行政區,段小段,地號,標示部面積,所有權登記次序,所有權持分類別,所有權持分分母,所有權持分分子,公告地價（新臺幣元每平方公尺）,申報地價（新臺幣元每平方公尺）,核定申報地價情形
松山區,民生段,00180002,160.0,0001,A,1,1,63100,63100,按公告地價100%申報者
松山區,寶清段一小段,02950000,59.0,0018,,16,1,76000,91200,按公告地價120%申報者
松山區,寶清段二小段,02060001,42.0,0156,,58320,5205,123619,148342,按公告地價120%申報者
松山區,寶清段二小段,02070001,146.0,0150,,58320,18165,95700,114840,按公告地價120%申報者
松山區,寶清段四小段,05500000,22.0,0005,,3,1,87800,105360,按公告地價120%申報者
松山區,寶清段五小段,00550001,156.0,0084,,640000,38,99210,119052,按公告地價120%申報者
松山區,延吉段一小段,02380000,34.0,0016,,5,1,95200,114240,按公告地價120%申報者
松山區,延吉段三小段,02510007,15.0,0171,,216,2,98100,117720,按公告地價120%申報者
松山區,延吉段三小段,04110001,302.0,0130,,105,5,98100,117720,按公告地價120%申報者
松山區,延吉段三小段,07710000,156.0,0059,,16000,199,98100,117720,按公告地價120%申報者
松山區,敦化段四小段,00290000,5.0,0005,,2,1,71200,85440,按公告地價120%申報者
松山區,民生段,00460048,35.0,0010,,12,3,71200,85440,按公告地價120%申報者
松山區,敦化段二小段,00380000,56.0,0015,,32,5,325500,390600,按公告地價120%申報者
松山區,敦化段一小段,07500000,50.0,0030,,144,1,138880,166656,按公告地價120%申報者
松山區,延吉段三小段,04440000,559.0,0130,,105,2,98100,117720,按公告地價120%申報者
松山區,延吉段三小段,02530004,231.0,0054,,24000,1999,98100,117720,按公告地價120%申報者
松山區,延吉段三小段,02510005,316.0,0177,,216000,1994,98100,117720,按公告地價120%申報者
松山區,寶清段五小段,02270000,13.0,0006,,2,1,95700,114840,按公告地價120%申報者
松山區,寶清段四小段,05660000,22.0,0007,,35,30,98900,118680,按公告地價120%申報者
松山區,寶清段三小段,00290000,10.0,0006,A,1,1,93600,112320,按公告地價120%申報者
松山區,民生段,00600005,1827.0,0305,,10000,108,162000,178200,申報地價超過公告地價100%未滿120%者
南港區,中南段二小段,02890000,3.0,0005,A,1,1,29155,34986,按公告地價120%申報者
南港區,中南段二小段,04600001,660.0,0053,,28800,1,50700,60840,按公告地價120%申報者
南港區,中南段二小段,04600002,161.0,0052,,28800,4,50700,60840,按公告地價120%申報者
南港區,中南段四小段,04060002,1.0,0003,A,1,1,27469,32962,按公告地價120%申報者
南港區,中南段四小段,04070001,12.0,0003,A,1,1,27469,32962,按公告地價120%申報者
南港區,玉成段四小段,06720001,104.0,0039,,120,1,63400,76080,按公告地價120%申報者
南港區,玉成段四小段,07160000,47.0,0040,,120,1,63400,76080,按公告地價120%申報者
南港區,玉成段四小段,07360000,253.0,0042,,120,1,63400,76080,按公告地價120%申報者
南港區,玉成段四小段,07380000,614.94,0042,,120,1,66630,79956,按公告地價120%申報者
南港區,南港段二小段,01810000,325.0,0021,,20000,1337,61500,73800,按公告地價120%申報者
南港區,新光段二小段,01500002,4.0,0122,,725,2,13114,15736,按公告地價120%申報者
南港區,新光段二小段,01720000,140.0,0044,,80000,527,43400,52080,按公告地價120%申報者
南港區,新光段二小段,01940005,138.0,0123,,4320,45,57290,68748,按公告地價120%申報者
南港區,新光段二小段,01940007,34.0,0112,,252,1,53636,64363,按公告地價120%申報者
南港區,新光段二小段,01940008,55.0,0112,,252,1,25668,30801,按公告地價120%申報者
