編號,工程編號,徵收案件名稱,核准徵收文號,公告徵收文號,原始保管金額
1,89005,交八(中正24號)交通廣場私地部份及廣場旁道路用地簡易綠化工程,890505台內地字第8906659號,890512府地四字第8903958600號,210088355
2,89020,洲美快速道路第1期新建工程(與社子快速道路重疊部分及士林43號道路),890506台內地字第8972671號,890512府地四字第8903977000號,26899903
3,89035,中正三元街暨接順相關巷道拓寬工程(補辦),890203台內地字第8902686號,890512府地四字第8903749400號,307946
4,89037,臺北都會區大眾捷運系統南港線東延段工程,890811台內地字第8961509號,890814府地四字第8907512800號,637202
5,89201,士林天玉街38巷16弄排水改善工程,890505台內地字第8976663號,890512府地四字第8903961100號,11138400
6,89512,士林21號公園擴建工程(農作改良物),890202台內地字第8903186號,890321府地四字第8901755300號,554433
7,89513,士林 21 號公園擴建工程（建築改良物）,890202台內地字第8903186號,890321府地四字第8901755300號,56801241
8,89515,交八(中正24號)交通廣場私地部份及廣場旁道路用地簡易綠化工程(建築改良物),890505台內地字第8906659號,890512府地四字第8903958600號,7454749
9,89704,士林 21 號公園擴建工程(營業損失),890202台內地字第8903186號,890321府地四字第8901755300號,5253300
10,89706,士林 21 號公園擴建工程(遷移費),890202台內地字第8903186號,890321府地四字第8901755300號,224000
11,89010,信義區吳興街320巷至394巷(惠安公園東側)道路新築工程,891013台內地字第8973723號,891024府地四字第8909610400號,1583625
12,89202,內湖康寧路1段255巷清白市場週邊道路排水工程,890922台內地字第8965729號,891004府地四字第8908926700號,2407421
13,89203,南港南深路道路拓寬工程,891121台內地字第8962252號,891123府地四字第8910758700號,18225600
14,89304,博愛專案新建工程,891122台內地字第8966148號,900411府地四字第9003976400號,45301919
15,89519,國立台灣大學為興建校舍規劃道路、庭園佈置(丙案)工程,761228台內地字第559022號,890921府地四字第8908391100號,45136
16,90003,士林福港街排水改善工程,900427台內地字第9076565號,900503府地四字第9004985200號,1764000
17,90004,士林天母國小東北側道路第一期拓寬工程,900426台內地字第9072793號,900507府地四字第9004965300號,6793200
18,90005,士林士林紙廠西側道路暨接順相關巷道新築工程,900508台內地字第9064890號,900511府地四字第9005663000號,283200
19,90006,士林天母游泳池東側前段道路拓寬工程,900427台內地字第9060816號,900504府地四字第9005003200號,2625000
20,90007,士林延平北路5段83巷28弄道路第一期拓寬工程,900426台內地字第9060803號,900503府地四字第9004964800號,9321362
21,90008,士林社正路17巷旁道路拓寬工程,900508台內地字第9068976號,900514府地四字第9005582600號,32207903
22,90009,士林中山北路7段141巷14弄道路拓寬工程,900426台內地字第9060799號,900511府地四字第9004965000號,3054720
23,90010,士林菁山路中段道路拓寬工程,900419台內地字第9064702號,900426府地四字第9004575400號,3069968
24,90012,北投公館路63巷道路第一期拓寬工程,900426台內地字第9064784號,900503府地四字第9004964600號,13344000
25,90014,內湖內湖路2段301巷道路拓寬工程,900508台內地字第9060892號,900511府地四字第9005582300號,885600
26,90016,內湖新明路380巷道路拓寬工程,900426台內地字第9076556號,900503府地四字第9004965100號,12928320
27,90017,內湖康寧路3段245巷(安康路以北)道路拓寬工程,900419台內地字第9068821號,900424府地四字第9004575300號,10752000
28,90018,內湖成功路4段167巷中段道路拓寬工程,900507台內地字第9068954號,900511府地四字第9005523400號,9476
29,90022,中山北安路554巷道路新築工程,900426台內地字第9072804號,900507府地四字第9004964400號,36880743
30,90023,南港研究院路2段2巷末段道路新築工程,900509台內地字第9064908號,900514府地四字第9005717800號,11033526
31,90027,信義吳興街156巷7弄至220巷11弄道路拓寬工程,900419台內地字第9060717號,900426府地四字第9004710500號,3931869
32,90028,文山景後街149巷道路拓寬工程,900419台內地字第9060716號,900430府地四字第9004710600號,4532737
33,90029,文山公館街拓寬工程,900508台內地字第9076643號,900514府地四字第9005651200號,2013557
34,90031,文山萬盛街130巷末段拓寬工程,900426台內地字第9068891號,900503府地四字第9004964300號,2148369
35,90032,文山興隆路1段271巷4弄道路拓寬工程,900508台內地字第9076644號,900514府地四字第9005651500號,103440
36,90033,大同迪化街2段附近道路第2期新築工程,900426台內地字第9060798號,900503府地四字第9004964900號,1277123
37,90034,大同延平北路3段18巷道路新築工程,900508台內地字第9060894號,900511府地四字第9005582100號,489642
38,90036,萬華和平西路3段159巷道路新築工程,900430台內地字第9064808號,900503府地四字第9005062400號,6770910
39,90037,中正區羅斯福路1段95巷道路新築工程,900426台內地字第9060802號,900503府地四字第9004964700號,1044000
40,90038,萬華萬華 12 號(龍山寺)公園新建工程,900509台內地字第9068996號,900514府地四字第9005663200號,522948
41,90039,萬華 400 號公園新建工程 (電影主題公園),900509台內地字第9060916號,900514府地四字第9005663300號,1410824988
42,90041,大同大同 22 號(大稻埕)廣場新建工程,900508台內地字第9060893號,900514府地四字第9005582400號,16097064
43,90042,士林 129 號綠地新建工程,900508台內地字第9064892號,900514府地四字第9005663100號,17918544
44,90043,內湖 64 號公園新建工程,900511台內地字第9008152號,900514府地四字第9005774500號,157208
45,90044,台北市立南湖高級中學擴建工程,900508台內地字第9060891號,900511府地四字第9005582200號,1259040
46,90045,南港舊莊區民活動中心興建工程,900426台內地字第9072792號,900511府地四字第9004965200號,273496
47,90047,內溝溪下游段整治工程,900509台內地字第9060915號,900514府地四字第9005663400號,85513654
48,90048,基隆河南湖大橋上游右岸堤防及兩岸堤外整地工程,900511台內地字第9076661號,900514府地四字第9005774600號,23951698
49,90051,台北聯絡線信義支線工程,900511台內地字第9076668號,900514府地四字第9005774700號,113092204
50,90052,中正台北車站特定區北平西路工程(補辦),900508台內地字第9068972號,900514府地四字第9005582500號,126065
51,90302,士林區 陽明山國家公園冷水坑遊憩區工程,900427台內地字第9060818號,900514府地四字第9005003100號,594444
52,90053,台北聯絡線信義支線工程(南隧道南、北口及北隧道南、北口) (補辦),901011台內地字第9061942號,901018府地四字第9016781000號,16980397
53,90054,台北都會區大眾捷運系統木柵(內湖)延伸線工程,900828台內地字第9069718號,900921府地四字第9010694800號,82210494
54,90055,南港南深路道路拓寬工程 ,901228台內地字第9070603號,910107府地四字第9019019100號,163236
