行政區,筆數總計,面積總計_公頃,公告土地現值總額總計_千元,都市土地公有筆數,都市土地公有面積_公頃,都市土地公有公告土地現值總額_千元,都市土地私有筆數,都市土地私有面積_公頃,都市土地私有公告土地現值總額_千元,都市土地公私共有筆數,都市土地公私共有面積_公頃,都市土地公私共有公告土地現值總額_千元
松山區,17587,822.468904,2594574579,5185,502.186090,1176965656,11478,275.134324,1176020943,924,45.148490,241587980
信義區,27583,1119.620877,3554006533,7632,544.194693,1900748657,18291,515.106765,1452888513,1660,60.319419,200369363
大安區,31766,1135.660755,5470084620,10425,656.515527,2671911633,19636,400.055848,2183020329,1705,79.08938,615152658
中山區,27001,1334.638946,4034831603,8081,814.960027,1899069995,17946,456.917930,1881344112,974,62.760989,254417496
中正區,25599,717.022975,3097289167,9623,463.795377,1788453650,15397,214.919845,1114370587,579,38.307753,194464930
大同區,26883,410.415446,1236149775,5942,213.314447,636581686,20469,183.867843,557871464,472,13.233156,41696625
萬華區,29156,579.495400,1216200086,6405,336.746848,600275160,22031,202.634218,519934872,720,40.114334,95990054
文山區,47715,3076.321809,1830316444,17026,1438.080717,820553833,28549,1482.994953,906779190,2140,155.246139,102983421
南港區,24993,2162.956657,1556726914,9301,941.690512,846648124,14456,1064.616207,630009181,1236,156.649938,80069609
內湖區,28563,3157.133779,2635791844,9733,944.868933,1003995907,17079,1958.025331,1492672691,1751,254.239515,139123246
士林區,72503,5899.438431,3018612739,21823,2686.645732,1331506615,48331,3042.206530,1569960452,2349,170.586169,117145672
北投區,60001,5636.705149,2108297733,21006,3243.332209,931921701,37456,2296.548018,1087678067,1539,96.824922,88697965
