行政區,分區,筆數,建蔽率/百分比,容積率上限/百分比,面積/平方公尺
中山區,住宅區,18,40,160,218334.6
中山區,第三種住宅區,471,45,225,1579600.5
中山區,第三之一種住宅區,16,45,300,44524.9
中山區,第三之二種住宅區,94,45,400,173409.6
中山區,第四種住宅區,28,50,300,73160.3
中山區,住商混合區,7,40,160,54152.5
中山區,第三種住宅區(特),3,45,225,3853.3
中山區,第三之一種住宅區(特),8,45,225,26218.5
中山區,第三之二種住宅區(特),2,45,400,4416.5
中山區,第一種商業區,3,55,360,10400.3
中山區,第一種商業區(特),1,45,225,3146.55
中山區,第二種商業區,16,65,630,52299.8
中山區,第二種商業區(特),83,45,225,156222.2
中山區,第三種商業區,55,65,560,174787.3
中山區,第三種商業區(特),296,45,225,599526.6
中山區,第四種商業區(特),170,45,225,643885.9
中山區,商業用地,5,70,560,5359.4
中山區,聯合開發區,10,,,13621
中山區,第三種商業區(特)(遷),1,45,250,505.49
中山區,商業區,12,50,200,204191.1
中山區,第參種工業區,2,55,300,147448.1
中山區,汽車修護展售工業區,7,45,200,51762.5
中山區,汽車修護展售工業區(特),1,45,200,2315.35
中山區,軍事機關用地,1,,,734.17
中山區,社會福利設施用地,1,,,954.84
中山區,消防用地,1,,,720.69
中山區,行政區,2,35,400,329416.5
中山區,機關用地,17,,,434073.3
中山區,社福及機關用地(供本府及相關單位公務使用),6,,,7343.8
中山區,機關及社會福利設施用地,1,,,2882.63
中山區,社福及機關用地,1,,,9400.48
中山區,文教區,4,,,41105.5
中山區,學校用地,1,,,1830.63
中山區,大學用地,1,,,17605.64
中山區,國小用地,12,0,225,217592
中山區,國中用地,6,0,225,129146.2
中山區,風景區,8,15,60,46253.3
中山區,高中用地,2,0,240,96975.1
中山區,大專用地,3,,,40013.9
中山區,農業區,11,,,100858.5
中山區,保護區,6,,,571640
中山區,保存區,3,,,8878.6
中山區,行水區,7,,,725041.7
中山區,體育場用地,1,,,1973.64
中山區,綠地用地,27,,,38929.1
中山區,公園用地,84,,,757162.2
中山區,市場用地,12,,,30273.3
中山區,批發市場用地,2,60,300,29320.9
中山區,廣場用地,2,,,4563
中山區,停車場用地,5,,,14007.3
中山區,污水處理場用地,2,,,50603.6
中山區,車站用地,5,,,37484.1
中山區,交通用地,21,,,33728.6
中山區,娛樂區,11,60,250,191120.9
中山區,電信專用區,1,,,4602.93
中山區,自來水事業用地,1,,,404.66
中山區,宗教特定專用區,1,,,1330.6
