年度,年期,繳納期間起日,繳納期間迄日,一般土地地價稅計算公式,自用住宅用地地價稅計算公式,工業用地地價稅計算公式,公共設施保留地地價稅計算公式
70,上期,19810916,19811015,"(課稅地價×稅率–累進差額)×1/2＝應納稅額
(1)(3300000以下×15/1000)×1/2＝應納稅額
(2)(3300001~19800000×20/1000–16500)×1/2＝應納稅額
(3)(19800001~36300000×30/1000–214500)×1/2＝應納稅額
(4)(36300001~52800000×40/1000–577500)×1/2＝應納稅額
(5)(52800001~69300000×50/1000–1105500)×1/2＝應納稅額
(6)(69300001~85800000×60/1000–1798500)×1/2＝應納稅額
(7)(85800001以上×70/1000–2656500)×1/2＝應納稅額",課稅地價×5/1000×1/2=應納稅額,課稅地價×15/1000×1/2=應納稅額,課稅地價×10/1000×1/2=應納稅額
70,下期,19820316,19820414,"(課稅地價×稅率–累進差額)×1/2＝應納稅額
(1)(3300000以下×15/1000)×1/2＝應納稅額
(2)(3300001~19800000×20/1000–16500)×1/2＝應納稅額
(3)(19800001~36300000×30/1000–214500)×1/2＝應納稅額
(4)(36300001~52800000×40/1000–577500)×1/2＝應納稅額
(5)(52800001~69300000×50/1000–1105500)×1/2＝應納稅額
(6)(69300001~85800000×60/1000–1798500)×1/2＝應納稅額
(7)(85800001以上×70/1000–2656500)×1/2＝應納稅額",課稅地價×5/1000×1/2=應納稅額,課稅地價×15/1000×1/2=應納稅額,課稅地價×10/1000×1/2=應納稅額
71,上期,19820916,19821015,"(課稅地價×稅率–累進差額)×1/2＝應納稅額
(1)(3300000以下×15/1000)×1/2＝應納稅額
(2)(3300001~19800000×20/1000–16500)×1/2＝應納稅額
(3)(19800001~36300000×30/1000–214500)×1/2＝應納稅額
(4)(36300001~52800000×40/1000–577500)×1/2＝應納稅額
(5)(52800001~69300000×50/1000–1105500)×1/2＝應納稅額
(6)(69300001~85800000×60/1000–1798500)×1/2＝應納稅額
(7)(85800001以上×70/1000–2656500)×1/2＝應納稅額",課稅地價×5/1000×1/2=應納稅額,課稅地價×15/1000×1/2=應納稅額,課稅地價×10/1000×1/2=應納稅額
71,下期,19830316,19830414,"(課稅地價×稅率–累進差額)×1/2＝應納稅額
(1)(3300000以下×15/1000)×1/2＝應納稅額
(2)(3300001~19800000×20/1000–16500)×1/2＝應納稅額
(3)(19800001~36300000×30/1000–214500)×1/2＝應納稅額
(4)(36300001~52800000×40/1000–577500)×1/2＝應納稅額
(5)(52800001~69300000×50/1000–1105500)×1/2＝應納稅額
(6)(69300001~85800000×60/1000–1798500)×1/2＝應納稅額
(7)(85800001以上×70/1000–2656500)×1/2＝應納稅額",課稅地價×5/1000×1/2=應納稅額,課稅地價×15/1000×1/2=應納稅額,課稅地價×10/1000×1/2=應納稅額
72,上期,19830916,19831015,"(課稅地價×稅率–累進差額)×1/2＝應納稅額
(1)(3300000以下×15/1000)×1/2＝應納稅額
(2)(3300001~19800000×20/1000–16500)×1/2＝應納稅額
(3)(19800001~36300000×30/1000–214500)×1/2＝應納稅額
(4)(36300001~52800000×40/1000–577500)×1/2＝應納稅額
(5)(52800001~69300000×50/1000–1105500)×1/2＝應納稅額
(6)(69300001~85800000×60/1000–1798500)×1/2＝應納稅額
(7)(85800001以上×70/1000–2656500)×1/2＝應納稅額",課稅地價×5/1000×1/2=應納稅額,課稅地價×15/1000×1/2=應納稅額,課稅地價×10/1000×1/2=應納稅額
72,下期,19840316,19840414,"(課稅地價×稅率–累進差額)×1/2＝應納稅額
(1)(3300000以下×15/1000)×1/2＝應納稅額
(2)(3300001~19800000×20/1000–16500)×1/2＝應納稅額
(3)(19800001~36300000×30/1000–214500)×1/2＝應納稅額
(4)(36300001~52800000×40/1000–577500)×1/2＝應納稅額
(5)(52800001~69300000×50/1000–1105500)×1/2＝應納稅額
(6)(69300001~85800000×60/1000–1798500)×1/2＝應納稅額
(7)(85800001以上×70/1000–2656500)×1/2＝應納稅額",課稅地價×5/1000×1/2=應納稅額,課稅地價×15/1000×1/2=應納稅額,課稅地價×10/1000×1/2=應納稅額
73,全期,19841116,19841215,"(課稅地價×稅率–累計差額)×1＝應納稅額
累進起點地價及稅率、累進差額同上。",課稅地價×5/1000=應納稅額,課稅地價×15/1000=應納稅額,課稅地價×10/1000=應納稅額
74,全期,19851116,19851215,"(課稅地價×稅率–累計差額)×1＝應納稅額
累進起點地價及稅率、累進差額同上。",課稅地價×5/1000=應納稅額,課稅地價×15/1000=應納稅額,課稅地價×10/1000=應納稅額
75,上半年,19861216,19870114,"(課稅地價×稅率–累計差額)×1＝應納稅額
累進起點地價及稅率、累進差額同上。",課稅地價×5/1000×1/2=應納稅額,課稅地價×15/1000×1/2=應納稅額,課稅地價×10/1000×1/2=應納稅額
75,下半年,19861216,19870114,"(課稅地價×稅率–累進差額)×1/2＝應納稅額
(1)(3301000以下×10/1000)×1/2＝應納稅額
(2)(3301001~19806000×15/1000–16505)×1/2＝應納稅額
(3)(19806001~36311000×25/1000–214565)×1/2＝應納稅額
(4)(36311001~52816000×35/1000–577675)×1/2＝應納稅額
(5)(52816001~69321000×45/1000–1105835)×1/2＝應納稅額
(6)(69321001以上×55/1000–1799045)×1/2＝應納稅額",課稅地價×3/1000×1/2＝應納稅額,課稅地價×10/1000×1/2＝應納稅額,課稅地價×6/1000×1/2＝應納稅額
