年/季,總金額,第0類低收入戶人次,第0類低收入戶發放標準,第0類低收入戶金額,第1類低收入戶人次,第1類低收入戶發放標準,第1類低收入戶金額,第2類低收入戶戶次,第2類低收入戶發放標準,第2類低收入戶金額
104年第1季,456501969,4045,-,48423240,3012,13400,37129024,10117,6800,68693703
104年第2季,486128180,4012,-,47646216,3114,13400,37862145,10471,6800,71058803
104年第3季,433714360,3944,-,46649417,3139,13400,37817312,10423,6800,70789283
104年第4季,497259970,3852,-,45833929,3117,13400,37636369,10496,6800,71284751
105年第1季,453776994,3692,-,46308043,3156,14000,39866012,10150,7100,71895444
105年第2季,464991936,3680,-,45961846,3215,14000,40867565,10294,7100,72987902
105年第3季,425867885,3632,-,45372465,3214,14000,40867565,10348,7100,73455167
105年第4季,490252242,3587,-,44289214,3238,14000,40847916,10554,7100,74831092
106年第1季,436932649,3527,-,47231061,3126,14000,41929581,10335,7100,73226149
106年第2季,451954953,3554,-,47777158,3196,14000,43017334,10572,7100,74894132
106年第3季,419478303,3531,-,47117610,3268,14000,44051404,10628,7100,75305671
106年第4季,472799686,3446,-,46167979,3245,14000,43112527,10767,7100,76357292
107年第1季,429248579,3667,-,50218748,3437,14000,48051774,10694,7100,75121676
107年第2季,448089496,3628,-,49944899,3500,14000,49002197,11120,7100,78160590
107年第3季,406678313,3573,-,49108025,3554,14000,49452446,11166,7100,78488625
107年第4季,473070510,3519,-,48318329,3590,14000,49545888,11213,7100,78797281
108年第1季,429220650,3394,-,50215820,3588,14000,51148725,11230,7100,78942832
108年第2季,443464751,3358,-,49586023,3675,14000,52273796,11306,7100,79588841
108年第3季,404476844,3342,-,49511550,3739,14000,52809763,11405,7100,80308244
108年第4季,484724172,3343,16580,48551796,3883,14000,53251974,11628,7100,81890771
109年第1季,410852463,3129,17005,47853508,3845,14270,56694193,10918,7370,83164962
109年第2季,474434160,3118,17005,46722411,4049,14270,57645654,11351,7370,85087768
109年第3季,390541611,3081,17005,45601338,4211,14270,58796928,11647,7370,85054419
109年第4季,488137044,3013,17005,44697891,4193,14270,58524060,11684,7370,85354775
110年第1季,408794565,3035,17668,45637822,4213,14270,58675709,11529,7370,84198250
110年第2季,464168635,3071,17668,46469590,4295,14270,59969205,11701,7370,85416594
110年第3季,383296886,3024,17668,45806756,4294,14270,60135567,11886,7370,86789029
110年第4季,498406330,2962,17668,45096763,4310,14270,60363204,11977,7370,87421091
111年第1季,421791166,2851,18682,46921275,4628,14270,64665833,11957,7370,87502300
111年第2季,464178446,2860,18682,47281108,4754,14270,66621623,12117,7370,88695911
111年第3季,392930461,2850,18682,47179205,4802,14270,67321097,12196,7370,89312219
111年第4季,484410403,2839,18682,47064009,4761,14270,66805100,12254,7370,89696506
112年第1季,407563811,2751,19013,48595638,4712,14270,65983501,11722,7370,85907400
112年第2季,443547140,2779,19013,49290185,4747,14270,66588549,11862,7370,86878608
112年第3季,379077998,2750,19013,48997237,4771,14270,67140497,12013,7370,87977438
112年第4季,456876948,2707,19013,48235213,4756,14270,67048077,11920,7370,87302637
113年第1季,391575175,2611,19649,47583255,4886,15317,72696304,12182,7911,95590981
113年第2季,496675688,2581,19649,47415736,4961,15317,74920926,12429,7911,97729408
113年第3季,395363131,2536,19649,46537464,5005,15317,75631215,12579,7911,98871834
113年第4季,492352859,2530,19649,46417365,4999,15317,75712107,12594,7911,98957967
114年第1季,392052944,2441,20379,46885862,5031,15317,75793458,12422,7911,97783976
114年第2季,474219762,2441,20379,47452307,5020,15317,75865788,12431,7911,97817849
114年第3季,380849801,2409,20379,46956609,4997,15317,75678396,12340,7911,97118696
