分處別,項目,本年質借筆數,本年質借本金金額,現金利息收入金額,本年變賣總計金額,本年變賣本金金額,本年變賣利息金額,本年變賣利益金額
總計,小計,57001,3042552100,109525817,35117523,18922233,2372245,13823045
總計,黃金,51607,2807722600,101461971,33065439,18132600,2264290,12668549
總計,鑽飾,3559,98962100,3821497,1170517,415673,61564,693280
總計,裸鑽,179,6844600,301804,175000,60000,7959,107041
總計,其他,1656,129022800,3940545,706567,313960,38432,354175
松隆分處,小計,9821,594937500,20094269,7758365,4223800,514367,3020198
松隆分處,黃金,8458,488846000,16658590,7165973,3987500,482346,2696127
松隆分處,鑽飾,567,17171500,653679,240292,78000,11838,150454
松隆分處,裸鑽,19,777500,34924,175000,60000,7959,107041
松隆分處,其他,777,88142500,2747076,177100,98300,12224,66576
古亭分處,小計,5062,262815500,9450075,3319176,1772333,212235,1334608
古亭分處,黃金,4557,242294700,8625539,3149286,1672000,201320,1275966
古亭分處,鑽飾,392,14396800,600996,72290,56173,8367,7750
古亭分處,裸鑽,16,632500,17649,0,0,0,0
古亭分處,其他,97,5491500,205891,97600,44160,2548,50892
雙園分處,小計,0,0,0,0,0,0,0
雙園分處,黃金,0,0,0,0,0,0,0
雙園分處,鑽飾,0,0,0,0,0,0,0
雙園分處,裸鑽,0,0,0,0,0,0,0
雙園分處,其他,0,0,0,0,0,0,0
龍山分處,小計,11159,549044000,20788004,5958777,3021300,397362,2540115
龍山分處,黃金,10371,529278300,20082120,5500173,2870800,375429,2253944
龍山分處,鑽飾,490,9613400,402878,155000,37000,4786,113214
龍山分處,裸鑽,96,2332100,99109,0,0,0,0
龍山分處,其他,202,7820200,203897,303604,113500,17147,172957
大同分處,小計,6077,304342600,11555563,4421384,2289500,309119,1822765
大同分處,黃金,5686,292432400,11106846,4333484,2257500,304437,1771547
大同分處,鑽飾,304,8842200,336184,75900,29000,4503,42397
大同分處,裸鑽,8,140000,6254,0,0,0,0
大同分處,其他,79,2928000,106279,12000,3000,179,8821
中山分處,小計,10859,605221300,21440534,5682399,3099700,405043,2177656
中山分處,黃金,9539,557457600,19935489,5267683,2939800,383799,1944084
中山分處,鑽飾,955,28241000,1014399,312272,111000,15910,185362
中山分處,裸鑽,23,1852500,74043,0,0,0,0
中山分處,其他,342,17670200,416603,102444,48900,5334,48210
景美分處,小計,5356,267232800,9523897,2081399,1192500,150109,738790
景美分處,黃金,4943,254176300,9031833,2024688,1176000,147531,701157
景美分處,鑽飾,353,9095000,346820,56711,16500,2578,37633
景美分處,裸鑽,5,584000,29946,0,0,0,0
景美分處,其他,55,3377500,115298,0,0,0,0
士林分處,小計,8667,458958400,16673475,5896023,3323100,384010,2188913
士林分處,黃金,8053,443237300,16021554,5624152,3229000,369428,2025724
士林分處,鑽飾,498,11602200,466541,258052,88000,13582,156470
士林分處,裸鑽,12,526000,39879,0,0,0,0
士林分處,其他,104,3592900,145501,13819,6100,1000,6719
