序號,區位代號,門牌號碼,土地座落區號,土地座落段號,土地座落地號,房屋土地持分比,車位土地持分比,土地持分比合計,建號,主建物面積㎡,陽台,雨遮,合計,共用面積不含車公㎡,產權面積 平方公尺,產權面積坪,公設百分比%,標售底價 核定金額,應繳押標金 核定金額,車位說明
1,F24-A01,新北市三重區重新路三段150號24樓,三重區,菜寮段,"0448-0000
0448-0001","20/10000
20/10000",,"20/10000
20/10000",04533-000,27.2,4.11,1.98,6.09,21.1116,54.4,16.46,38.81,7921046,792100,
2,F24-A02,新北市三重區重新路三段150號24樓之1,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04552-000,28.39,4.11,2.43,6.54,21.9483,56.88,17.21,38.59,8224659,822500,
3,F24-A03,新北市三重區重新路三段150號24樓之2,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04571-000,28.95,4.11,1.91,6.02,21.9483,56.92,17.22,38.56,8240287,824000,
4,F24-A04,新北市三重區重新路三段150號24樓之3,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04588-000,28.39,4.11,2.43,6.54,21.9483,56.88,17.21,38.59,8224659,822500,
5,F24-A05,新北市三重區重新路三段150號24樓之5,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04605-000,28.39,4.11,2.43,6.54,21.9483,56.88,17.21,38.59,8224659,822500,
6,F24-A06,新北市三重區重新路三段150號24樓之6,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04622-000,28.95,4.11,1.91,6.02,21.9483,56.92,17.22,38.56,8240287,824000,
7,F24-A07,新北市三重區重新路三段150號24樓之7,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04641-000,28.39,4.11,2.43,6.54,21.9483,56.88,17.21,38.59,8224659,822500,
8,F24-A08,新北市三重區重新路三段150號24樓之8,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04660-000,28.95,4.11,1.91,6.02,21.9483,56.92,17.22,38.56,8240287,824000,
9,F24-A09,新北市三重區重新路三段150號24樓之9,三重區,菜寮段,"0448-0000
0448-0001","22/10000
22/10000",,"22/10000
22/10000",04679-000,30.29,4.11,2.1,6.21,22.7372,59.24,17.92,38.38,8633318,863300,
10,F24-A10,新北市三重區重新路三段150號24樓之10,三重區,菜寮段,"0448-0000
0448-0001","26/10000
26/10000","2/10000
2/10000","28/10000
28/10000",04698-000,36.19,4.45,2.45,6.9,26.6822,69.77,21.11,38.24,12031463,1203100,升降平面車位B4-54
11,F24-A11,新北市三重區重新路三段150號24樓之11,三重區,菜寮段,"0448-0000
0448-0001","22/10000
22/10000",,"22/10000
22/10000",04717-000,30.22,4.13,2.1,6.23,22.7372,59.19,17.9,38.42,8651070,865100,
12,F24-A12,新北市三重區重新路三段150號24樓之12,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04736-000,28.49,3.8,2.16,5.96,21.1593,55.61,16.82,38.05,8133647,813400,
13,F24-A13,新北市三重區重新路三段150號24樓之13,三重區,菜寮段,"0448-0000
0448-0001","34/10000
34/10000","2/10000
2/10000","36/10000
36/10000",04754-000,44.96,4.9,6.97,11.87,35.2655,92.1,27.86,38.29,15170190,1517000,升降平面車位B4-40
14,F24-A14,新北市三重區重新路三段150號24樓之15,三重區,菜寮段,"0448-0000
0448-0001","34/10000
34/10000","2/10000
2/10000","36/10000
36/10000",04772-000,47.2,4.85,4.19,9.04,35.2655,91.51,27.68,38.54,15025534,1502600,升降平面車位B4-45
15,F23-A02,新北市三重區重新路三段150號23樓之1,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04551-000,28.39,4.11,2.43,6.54,21.9483,56.88,17.21,38.59,8178192,817800,
16,F23-A03,新北市三重區重新路三段150號23樓之2,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04570-000,28.95,4.11,1.91,6.02,21.9483,56.92,17.22,38.56,8193793,819400,
17,F23-A04,新北市三重區重新路三段150號23樓之3,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04587-000,28.39,4.11,2.43,6.54,21.9483,56.88,17.21,38.59,8178192,817800,
18,F23-A05,新北市三重區重新路三段150號23樓之5,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04604-000,28.39,4.11,2.43,6.54,21.9483,56.88,17.21,38.59,8178192,817800,
19,F23-A06,新北市三重區重新路三段150號23樓之6,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04621-000,28.95,4.11,1.91,6.02,21.9483,56.92,17.22,38.56,8193793,819400,
20,F23-A07,新北市三重區重新路三段150號23樓之7,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04640-000,28.39,4.11,2.43,6.54,21.9483,56.88,17.21,38.59,8178192,817800,
21,F23-A08,新北市三重區重新路三段150號23樓之8,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04659-000,28.95,4.11,1.91,6.02,21.9483,56.92,17.22,38.56,8193793,819400,
22,F23-A09,新北市三重區重新路三段150號23樓之9,三重區,菜寮段,"0448-0000
0448-0001","22/10000
22/10000",,"22/10000
22/10000",04678-000,30.29,4.11,2.1,6.21,22.7372,59.24,17.92,38.38,8584934,858500,
23,F23-A10,新北市三重區重新路三段150號23樓之10,三重區,菜寮段,"0448-0000
0448-0001","26/10000
26/10000","2/10000
2/10000","28/10000
28/10000",04697-000,36.19,4.45,2.45,6.9,26.6822,69.77,21.11,38.24,11974466,1197400,升降平面車位B4-53
24,F23-A12,新北市三重區重新路三段150號23樓之12,三重區,菜寮段,"0448-0000
0448-0001","21/10000
21/10000",,"21/10000
21/10000",04735-000,28.49,3.8,2.16,5.96,21.1593,55.61,16.82,38.05,8094289,809400,
25,F23-A13,新北市三重區重新路三段150號23樓之13,三重區,菜寮段,"0448-0000
0448-0001","34/10000
34/10000","2/10000
2/10000","36/10000
36/10000",04753-000,44.96,4.9,6.97,11.87,35.2655,92.1,27.86,38.29,15130072,1513000,升降平面車位B4-37
