序號,臺北市代碼,機關代碼,線別,基地名稱,基地狀況,備註
1,63000,379510000H,文湖線(10基地),科技大樓站（交7）、麟光站（交9）、忠孝復興站（交4、10）、大安站（交6）、中山國中站（交3）、萬芳社區站（交12）、木柵站（交13）、港墘站（交9）、內湖站（交11）、辛亥站（交10）,已完工（取得使照）,臺北都會區土地開發共計核定87基地
2,63000,379510000H,新店線(15基地),景美站（交3）、景美站（交4）、大坪林站（捷4、5）、大坪林站（捷6）、古亭站（交14）、古亭站（交15）、新店區公所站（捷22）、公館站（交11）、台電大樓站（交13）、七張站（捷10、11）、新店站（捷24、25、26、27）、萬隆站（交6、7）、萬隆站（交10）、新店機廠（捷17、18、19）、大坪林站（捷8）,已完工（取得使照）,1.已完工（取得使照）：65基地
3,63000,379510000H,南港線(5基地),臺北車站（交1）、永春站（交19）、永春站（交21）、後山埤站（交24）、後山埤站（交25）,已完工（取得使照）,2.施工中（取得建照）：6基地
4,63000,379510000H,板橋線(2基地),江子翠站（捷1）、龍山寺站（交1）,已完工（取得使照）,3.設計中（簽訂投資契約書）：7基地
5,63000,379510000H,中和線(6基地),頂溪站（捷2）、頂溪站（捷3）、頂溪站（捷4）、永安市場站（捷1、2）、景安站（捷5）、南勢角站（捷6）,已完工（取得使照）,4.徵求投資人或前置作業中：9基地
6,63000,379510000H,淡水線(3基地),臺北車站特定專用區（交9）、關渡站（交40）、淡水站（三角廣場）,已完工（取得使照）,
7,63000,379510000H,新莊線(12基地),東門站（捷3）、行天宮站（捷5）、行天宮站（捷7）、忠孝新生站（捷14）、先嗇宮站（捷8）、東門站（捷1）、松江南京站（捷9）、臺北橋站（捷2）、行天宮站（捷8）、菜寮站（捷4）、大橋頭站（捷2）、三重站（捷6）,已完工（取得使照）,
8,63000,379510000H,松山線(6基地),南京三民站（捷9）、南京三民站（捷10）、松江南京站（捷10）、南京復興站（捷4）、中山站（捷2）、中山站（捷1）,已完工（取得使照）,
9,63000,379510000H,信義線(2基地),大安森林公園站（捷2）、大安站（捷3）,已完工（取得使照）,
10,63000,379510000H,蘆洲線(2基地),徐匯中學站（捷1）、蘆洲站（捷6）,已完工（取得使照）,
11,63000,379510000H,信義線(1基地),信義安和站（捷5）,已完工（取得使照）,
12,63000,379510000H,萬大線(1基地),中和高中站（捷6）,已完工（取得使照）,
14,63000,379510000H,萬大線(1基地),連城錦和站（捷3）,施工中（取得建照）,
15,63000,379510000H,機場線(2基地),臺北車站特定專用區C1、D1,施工中（取得建照）,
16,63000,379510000H,松山線(1基地),松江南京站（捷13）,施工中（取得建照）,
17,63000,379510000H,新店線(1基地),新店區公所站（捷23）,施工中（取得建照）,
18,63000,379510000H,環狀線第二階段(1基地),臺北市段：Y26（出入口B通風井Y）,施工中（取得建照）,
19,63000,379510000H,萬大線(6基地),"臺北市段：加蚋站（捷9）、廈安站（捷10）、中正紀念堂站（捷4）
新北市段:金城機廠暨莒光站、中和站（捷2）、連城錦和站（捷4）",設計中（已簽約）,
20,63000,379510000H,環狀線第二階段(1基地),新北市段：Y21（出入口C）,設計中（已簽約）,
21,63000,379510000H,板橋線(1基地),新埔站（捷3）,徵求投資人或前置作業中,
22,63000,379510000H,土城線延伸頂埔段(1基地),頂埔站（捷1）,徵求投資人或前置作業中,
23,63000,379510000H,萬大線(1基地),新北市段:中和高中站（捷5）,徵求投資人或前置作業中,
24,63000,379510000H,環狀線第二階段(4基地),"臺北市段：Y3（出入口A通風井X）
新北市段：Y20（出入口B通風井Y）、Y21（出入口B通風井Y）、Y23（出入口B）",徵求投資人或前置作業中,
25,63000,379510000H,環狀線東環段(2基地),Y37、Y39,徵求投資人或前置作業中,
