序號,年度,類別,工程名稱,契約金額（千元）,主辦機關,施工單位,設計單位,監造單位,專案管理單位
1,109,土木工程類  ,北投士林科技園區區段徵收公共工程－填土整地工程(第2期-T16、T17、T18以外工區),650334,臺北市政府工務局水利工程處,豪昱營造股份有限公司,林同棪工程顧問股份有限公司,亞新工程顧問股份有限公司,無
2,109,土木工程類  ,南港公園更新工程(第二期),95120,臺北市政府工務局公園路燈工程管理處,超然營造工程有限公司,惇陽工程顧問有限公司,惇陽工程顧問有限公司,無
3,109,土木工程類  ,107年度永春陂濕地公園設施營造及改善工程(第二期),65980,臺北市政府工務局大地工程處,郁東營造有限公司,經典工程顧問有限公司,安笙工程顧問有限公司,無
4,109,土木工程類  ,107年度實驗性公園兒童遊戲場改善工程,33577,臺北市政府工務局公園路燈管理工程處,超然營造工程有限公司,境觀設計有限公司,境觀設計有限公司,無
5,109,土木工程類  ,108年度臺北市山坡地農業環境改善工程,39900,臺北市政府工務局大地工程處,台正營造有限公司,開巨技術顧問有限公司,開巨技術顧問有限公司,無
6,109,土木工程類  ,108年度山區道路改善及維護工程(竹子湖頂湖段及湖底支線等2處),9149,臺北市政府工務局大地工程處,富士山營造有限公司,亞柏技術顧問股份有限公司,亞柏技術顧問股份有限公司,無
7,109,土木工程類  ,信義線大安站3號與信義安和站2號出入口無障礙電梯復建工程,37571,臺北市政府捷運工程局第二區工程處,亞億營造股份有限公司,中興工程顧問股份有限公司/亞新工程顧問股份有限公司,臺北市政府捷運工程局第二區工程處土木第十工務所/水電環控第一工務所/電扶梯工務所,無
8,109,水利工程類  ,洲美堤防自雙溪橋至洲美大橋間堤防新建工程,239397,臺北市政府工務局水利工程處,豪昱營造股份有限公司,林同棪工程顧問股份有限公司,恆康工程顧問股份有限公司,無
9,109,水利工程類  ,直潭淨水場第一座快濾池設備改善工程,352600,臺北自來水事業處,臺灣增澤工程股份有限公司/泰業營造股份有限公司,環興科技股份有限公司,臺北自來水事業處工程總隊,無
10,109,水利工程類  ,106年度士林區中庸一路附近地區污水接管工程,91332,臺北市政府工務局衛生下水道工程處,中佑營造工程股份有限公司,式新工程顧問股份有限公司,恆康工程顧問股份有限公司,無
11,109,水利工程類  ,社子大橋周邊護岸及環境改善工程,40000,臺北市政府工務局水利工程處,安宏營造有限公司,宜大國際景觀科技股份有限公司,任泰技術顧問有限公司,無
12,109,水利工程類  ,106年度中山區中山北路2段及林森北路附近地區污水接管工程,28624,臺北市政府工務局衛生下水道工程處,萬碁工程有限公司,恆康工程顧問股份有限公司,恆康工程顧問股份有限公司,無
13,109,水利工程類  ,108年度臺北市山坡地溪溝改善及設施維護工程(南區),15197,臺北市政府工務局大地工程處,協翔營造工程股份有限公司,麒昌工程顧問股份有限公司,開巨技術顧問有限公司,無
14,109,水利工程類  ,108年度臺北市山坡地邊坡改善與設施維護工程,25765,臺北市政府工務局大地工程處,曜鼎營造有限公司,亞柏技術顧問股份有限公司,亞柏技術顧問股份有限公司,無
15,109,建築工程類  ,北部流行音樂中心興建工程(南基地),1651312,臺北市政府工務局新建工程處,瑞助營造股份有限公司,"RUR Architecture,P.C./宗邁建築師事務所","RUR Architecture,P.C./宗邁建築師事務所",喻台生建築師事務所/洪啟德土木大地技師事務所
16,109,建築工程類  ,臺北市政府警察局南港分局南港派出所新建工程(建築工程),375474,臺北市政府工務局新建工程處,文昌營造工程有限公司,廖晏瑋建築師事務所,廖晏瑋建築師事務所,無
17,109,建築工程類  ,臺北市內湖區瑞光公共住宅統包工程,1632257,臺北市政府都市發展局,建國工程股份有限公司/中保科技股份有限公司,蕭力仁建築師事務所,台灣世曦工程顧問股份有限公司,台灣世曦工程顧問股份有限公司/宋哲賓建築師事務所/陳章安建築師事務所
18,109,建築工程類  ,臺北市南港瓶蓋工廠歷史建築及保留建物整修工程,113954,臺北市政府產業發展局,福清營造股份有限公司,徐裕健建築師事務所,徐裕健建築師事務所,無
19,109,建築工程類  ,臺北市松山區民生社區大樓9樓整修工程,2676,臺北市政府社會局,宏鑫土木包工業有限公司,張書鳴建築師事務所,張書鳴建築師事務所,無
20,109,設施工程類  ,玉成抽水站機組更新工程,764687,臺北市政府工務局水利工程處,中鋼機械股份有限公司,台灣世曦工程顧問股份有限公司,東震土木技師事務所,無
21,109,設施工程類  ,迪化污水處理廠設備更新工程(第一期)-脫水機及濃縮機等設備更新,186600,臺北市政府工務局衛生下水道工程處,山林水環境工程股份有限公司,技嘉電機工業技師事務所,式新工程顧問股份有限公司,無
22,109,設施工程類  ,108年度重劃區智慧路燈建置統包工程,63533,臺北市政府工務局公園路燈工程管理處,億光電子工業股份有限公司,億光電子工業股份有限公司,技嘉電機工業技師事務所,無
23,110,土木工程類  ,LG02車站、LG02至LG03及LG02至LG01潛盾隧道土建工程及國語實小捷運共構大樓新建工程,2467000,臺北市政府捷運工程局第二區工程處,大陸工程股份有限公司,台灣世曦工程顧問股份有限公司,臺北市政府捷運工程局第二區工程處土木第三工務所,無
24,110,土木工程類  ,臺北市忠孝東路等東西軸線路段及周邊人行環境改善工程（第一標）,67430,臺北市政府工務局新建工程處,冠君營造有限公司,台灣世曦工程顧問股份有限公司,盛禹工程顧問有限公司,無
25,110,土木工程類  ,臺北市忠孝東路等東西軸線路段及周邊人行環境改善工程（第三標）,71710,臺北市政府工務局新建工程處,金煌營造有限公司,台灣世曦工程顧問股份有限公司,永健工程顧問有限公司,無
