縣市,縣市代碼,機關代碼,登錄號碼,經紀業名稱
臺北市,63000,379700000A,A1-0001,新聯陽實業股份有限公司
臺北市,63000,379700000A,A1-0007,宜樺開發建設股份有限公司
臺北市,63000,379700000A,A1-0015,強源不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0022,大師國際不動產股份有限公司
臺北市,63000,379700000A,A1-0027,住友不動產管理顧問股份有限公司
臺北市,63000,379700000A,A1-0030,傳真實業股份有限公司
臺北市,63000,379700000A,A1-0032,傳美廣告股份有限公司
臺北市,63000,379700000A,A1-0033,力霸不動產投資顧問股份有限公司
臺北市,63000,379700000A,A1-0036,信義房屋股份有限公司
臺北市,63000,379700000A,A1-0041,謹穩有限公司
臺北市,63000,379700000A,A1-0049,甲山林房屋仲介股份有限公司
臺北市,63000,379700000A,A1-0051,瑞普國際物業股份有限公司
臺北市,63000,379700000A,A1-0055,永福房地產買賣仲介社
臺北市,63000,379700000A,A1-0066,芳鄰廣告股份有限公司
臺北市,63000,379700000A,A1-0080,海悅廣告股份有限公司
臺北市,63000,379700000A,A1-0088,誠忠不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0092,太平洋房屋仲介股份有限公司
臺北市,63000,379700000A,A1-0100,甲桂林廣告股份有限公司
臺北市,63000,379700000A,A1-0106,南港不動產有限公司
臺北市,63000,379700000A,A1-0111,興新不動產經紀股份有限公司
臺北市,63000,379700000A,A1-0117,仲晨實業有限公司
臺北市,63000,379700000A,A1-0119,祥和國際地產有限公司
臺北市,63000,379700000A,A1-0122,合家歡不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0124,日朋房屋仲介有限公司
臺北市,63000,379700000A,A1-0130,日日昇不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0132,泰和不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0133,宅通不動產經紀有限公司
臺北市,63000,379700000A,A1-0154,柏林不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0156,英屬維京群島商世宏不動產(有)台灣分公司
臺北市,63000,379700000A,A1-0167,永福不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0173,甲桂林不動產代銷經紀股份有限公司
臺北市,63000,379700000A,A1-0191,遠雄房地產發展股份有限公司
臺北市,63000,379700000A,A1-0193,張媽媽租屋專業服務有限公司
臺北市,63000,379700000A,A1-0199,永久地產顧問有限公司
臺北市,63000,379700000A,A1-0205,雙和不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0213,聯頡廣告事業有限公司
臺北市,63000,379700000A,A1-0216,安泰不動產股份有限公司
臺北市,63000,379700000A,A1-0219,樹雅企業有限公司
臺北市,63000,379700000A,A1-0220,甲山林廣告股份有限公司
臺北市,63000,379700000A,A1-0221,摩恩不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0223,東森京瑑股份有限公司
臺北市,63000,379700000A,A1-0225,欣鼎陽建設股份有限公司
臺北市,63000,379700000A,A1-0226,恆暘實業有限公司
臺北市,63000,379700000A,A1-0228,傑森愛華國際物業顧問行
臺北市,63000,379700000A,A1-0234,上品國際不動產經紀有限公司
臺北市,63000,379700000A,A1-0235,香港商世邦魏理仕有限公司台灣分公司
臺北市,63000,379700000A,A1-0241,永慶房屋仲介股份有限公司
臺北市,63000,379700000A,A1-0247,中信房屋仲介股份有限公司
臺北市,63000,379700000A,A1-0248,海豚房屋仲介有限公司
臺北市,63000,379700000A,A1-0263,仲量聯行股份有限公司
臺北市,63000,379700000A,A1-0270,喬大地產開發股份有限公司
臺北市,63000,379700000A,A1-0271,松田房屋仲介有限公司
臺北市,63000,379700000A,A1-0278,香港商戴德梁行不動產投資顧問有限公司台灣分公司
臺北市,63000,379700000A,A1-0279,將盟房屋仲介股份有限公司
臺北市,63000,379700000A,A1-0280,普森房屋仲介事業有限公司
臺北市,63000,379700000A,A1-0283,興聯盟廣告有限公司
臺北市,63000,379700000A,A1-0284,萬甲房屋仲介商行
臺北市,63000,379700000A,A1-0288,興格房屋仲介有限公司
臺北市,63000,379700000A,A1-0300,鴻運通股份有限公司
臺北市,63000,379700000A,A1-0301,亨家房屋仲介有限公司
臺北市,63000,379700000A,A1-0306,明湖不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0310,威德房屋仲介有限公司
臺北市,63000,379700000A,A1-0314,住商實業股份有限公司
臺北市,63000,379700000A,A1-0316,盛家昌興業有限公司
臺北市,63000,379700000A,A1-0317,萬得福不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0319,詮誠房屋仲介有限公司
臺北市,63000,379700000A,A1-0323,都市房屋仲介有限公司
臺北市,63000,379700000A,A1-0324,棨焌有限公司
臺北市,63000,379700000A,A1-0328,住信房屋仲介股份有限公司
臺北市,63000,379700000A,A1-0334,超營實業有限公司
臺北市,63000,379700000A,A1-0336,誠泰國際地產有限公司
臺北市,63000,379700000A,A1-0337,東隆房屋仲介有限公司
臺北市,63000,379700000A,A1-0338,十大不動產股份有限公司
臺北市,63000,379700000A,A1-0341,億來房屋仲介有限公司
臺北市,63000,379700000A,A1-0347,加盟房屋仲介有限公司
臺北市,63000,379700000A,A1-0350,內湖房屋仲介有限公司
臺北市,63000,379700000A,A1-0353,英屬維爾京群島商高力國際股份有限公司
臺北市,63000,379700000A,A1-0354,惠眾不動產仲介經紀股份有限公司
臺北市,63000,379700000A,A1-0359,橋都建設股份有限公司
臺北市,63000,379700000A,A1-0361,好厝多不動產經紀股份有限公司
臺北市,63000,379700000A,A1-0367,巨都房屋仲介有限公司
臺北市,63000,379700000A,A1-0370,全國不動產經紀股份有限公司
臺北市,63000,379700000A,A1-0371,僑茂房屋仲介股份有限公司
臺北市,63000,379700000A,A1-0384,新富房屋仲介有限公司
臺北市,63000,379700000A,A1-0386,德安不動產經紀有限公司
臺北市,63000,379700000A,A1-0390,現代物業經紀股份有限公司
臺北市,63000,379700000A,A1-0395,至善房屋仲介有限公司
臺北市,63000,379700000A,A1-0400,東家房屋仲介有限公司
臺北市,63000,379700000A,A1-0408,旺鴻不動產仲介經紀股份有限公司
臺北市,63000,379700000A,A1-0410,北吉房屋仲介有限公司
臺北市,63000,379700000A,A1-0412,偉信不動產經紀有限公司
臺北市,63000,379700000A,A1-0413,玉鼎房屋仲介有限公司
臺北市,63000,379700000A,A1-0415,築巢全球事業有限公司
臺北市,63000,379700000A,A1-0421,吉星商業有限公司
臺北市,63000,379700000A,A1-0423,宏和不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0428,金牌房屋仲介有限公司
臺北市,63000,379700000A,A1-0434,宏冠不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0444,三多房屋仲介有限公司
臺北市,63000,379700000A,A1-0447,忠三有限公司
臺北市,63000,379700000A,A1-0450,傑士房屋仲介有限公司
臺北市,63000,379700000A,A1-0452,寬頻房訊科技股份有限公司
臺北市,63000,379700000A,A1-0455,華元不動產有限公司
臺北市,63000,379700000A,A1-0468,百分百不動產經紀股份有限公司
臺北市,63000,379700000A,A1-0470,維邦國際商用不動產顧問有限公司
臺北市,63000,379700000A,A1-0472,大曜房屋仲介企業股份有限公司
臺北市,63000,379700000A,A1-0473,福聚房屋仲介有限公司
臺北市,63000,379700000A,A1-0475,達順房屋仲介行
臺北市,63000,379700000A,A1-0482,逸品房屋仲介有限公司
臺北市,63000,379700000A,A1-0485,福圓全球房地產股份有限公司
臺北市,63000,379700000A,A1-0486,四通房屋仲介有限公司
臺北市,63000,379700000A,A1-0489,金鼎揚廣告有限公司
臺北市,63000,379700000A,A1-0499,百事新亞房屋有限公司
