序號,日期,被申訴公司名稱,案件類型,標的種類,公司類別,糾紛主要原因,查處結果,備註
1,1030103,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,隱瞞重要資訊,未妥善處理，與申訴人聯繫後移消保官,
2,1030107,汎太開發不動產仲介股份有限公司,買賣,成屋,仲介業,仲介「斡旋金」返還,撤案,
3,1030108,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,房屋漏水問題,未妥善處理，與申訴人聯繫後移消保官,
4,1030113,威丞實業有限公司,買賣,預售屋,建商,標的物貸款問題,未妥善處理，與申訴人聯繫後移消保官,
5,1030116,群義不動產經紀股份有限公司,買賣,成屋,仲介業,仲介公司欺罔行為,未妥善處理，與申訴人聯繫後移消保官,
6,1030121,標柱敦南不動產經紀股份有限公司,買賣,成屋,仲介業,隱瞞重要資訊,未妥善處理，函告申訴人後續可行處理方式,
7,1030102,信義房屋股份有限公司,買賣,成屋,仲介業,房屋現況說明書內容與現況不符,未妥善處理，函告申訴人後續可行處理方式,
8,1030108,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,氯離子檢測,未妥善處理，函告申訴人後續可行處理方式,
9,1030109,實信不動產有限公司,買賣,成屋,仲介業,標的物貸款問題,妥善處理，達成和解,
10,1030122,紅順股份有限公司,買賣,成屋,仲介業,其他,妥善處理，達成和解,
11,1030110,甲士林建設,買賣,預售屋,建商,建材設備不符,未妥善處理，與申訴人聯繫後移消保官,
12,1030127,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,氯離子檢測,議會協商不成立,
13,1030122,安全開發不動產仲介有限公司,買賣,成屋,仲介業,交屋遲延,議會協商不成立,
14,1030123,三發地產股份有限公司,買賣,預售屋,建商,施工瑕疵,妥善處理，達成和解,
15,1030206,工信地產集團,買賣,成屋,仲介業,「定金」返還(含斡旋金轉成定金返還),未妥善處理，與申訴人聯繫後移消保官,
16,1030122,亞太中原地產有限公司,買賣,成屋,仲介業,隱瞞重要資訊,未妥善處理，函告申訴人後續可行處理方式,
17,1030127,東和開發建設股份有限公司,買賣,成屋,仲介業,隱瞞重要資訊,未妥善處理，與申訴人聯繫後移消保官,
18,1030103,永富開發股份有限公司,買賣,預售屋,建商,停車位面積,未妥善處理，與申訴人聯繫後移消保官,
19,1030116,翔譽國際建設股份有限公司,買賣,預售屋,建商,其他,未妥善處理，與申訴人聯繫後移消保官,
20,1030129,僑協企業股份有限公司,買賣,預售屋,建商,其他,未妥善處理，與申訴人聯繫後移消保官,
21,1030113,第一太平戴維斯股份有限公司,買賣,成屋,仲介業,有關稅費爭議,未妥善處理，與申訴人聯繫後移消保官,
22,1030127,元美不動產有限公司,買賣,成屋,仲介業,隱瞞重要資訊,議會協商其他結論,
23,1030129,中業房屋仲介有限公司,買賣,成屋,仲介業,服務報酬爭議,未妥善處理，與申訴人聯繫後移消保官,
24,1030212,根億建設股份有限公司,買賣,預售屋,建商,其他,未妥善處理，與申訴人聯繫後移消保官,
25,1030214,宇馥建設股份有限公司,買賣,預售屋,建商,有關稅費爭議,未妥善處理，與申訴人聯繫後移消保官,
26,1030217,潤豐國際開發有限公司,買賣,成屋,仲介業,隱瞞重要資訊,未妥善處理，函告申訴人後續可行處理方式,
27,1030220,信義房屋股份有限公司,買賣,成屋,仲介業,產權不清楚,撤案,
28,1030227,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,房屋漏水問題,未妥善處理，與申訴人聯繫後移消保官,
29,1030227,中佑房屋仲介有限公司,買賣,成屋,仲介業,房屋漏水問題,未妥善處理，函告申訴人後續可行處理方式,
30,1030219,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,氯離子檢測,妥善處理，達成和解,
31,1030224,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,屋頂使用權與產權爭議,未妥善處理，函告申訴人後續可行處理方式,
32,1030306,合億房屋仲介有限公司,買賣,成屋,仲介業,房屋漏水問題,未妥善處理，函告申訴人後續可行處理方式,
33,1030317,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,房屋漏水問題,未妥善處理，函告申訴人後續可行處理方式,
34,1030324,森澤開發企業有限公司,買賣,成屋,其他,隱瞞重要資訊,未妥善處理，函告申訴人後續可行處理方式,
35,1030317,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,氯離子檢測,未妥善處理，與申訴人聯繫後移消保官,
36,1030307,詠譽建設股份有限公司,買賣,預售屋,建商,有關稅費爭議,未妥善處理，與申訴人聯繫後移消保官,
37,1030325,皇普建設股份有限公司,買賣,預售屋,建商,停車位價金,未妥善處理，與申訴人聯繫後移消保官,
38,1030314,皇冠不動產有限公司,買賣,成屋,仲介業,終止委售或買賣契約,議會協商成立,
39,1030304,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,產權不清楚,未妥善處理，與申訴人聯繫後移消保官,
40,1030324,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,氯離子檢測,未妥善處理，函告申訴人後續可行處理方式,
41,1030317,信義房屋股份有限公司,買賣,成屋,仲介業,房屋漏水問題,議會協商成立,
42,1030403,翔譽國際建設股份有限公司,買賣,預售屋,建商,廣告不實,未妥善處理，與申訴人聯繫後移消保官,
43,1030408,大漢秋風不動產經紀有限公司,買賣,成屋,仲介業,隱瞞重要資訊,撤案,
44,1030328,永立地產開發有限公司,買賣,成屋,仲介業,服務報酬爭議,妥善處理，達成和解,
45,1030408,長耀建設股份有限公司,買賣,預售屋,建商,停車位價金,未妥善處理，函告申訴人後續可行處理方式,
46,1030415,信義房屋股份有限公司,買賣,成屋,仲介業,終止委售或買賣契約,未妥善處理，函告申訴人後續可行處理方式,
47,1030417,力宇不動產仲介經紀有限公司,買賣,成屋,仲介業,房屋漏水問題,未妥善處理，函告申訴人後續可行處理方式,
48,1030428,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,房屋漏水問題,未妥善處理，函告申訴人後續可行處理方式,
49,1030415,長泰金建設股份有限公司,買賣,預售屋,建商,開工遲延,未妥善處理，函告申訴人後續可行處理方式,
50,1030429,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,有關稅費爭議,未妥善處理，函告申訴人後續可行處理方式,
51,1030401,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,仲介公司欺罔行為,撤案,
52,1030409,樺福建設開發股份有限公司,買賣,預售屋,建商,交屋遲延,未妥善處理，與申訴人聯繫後移消保官,
53,1030423,永慶房屋仲介股份有限公司,買賣,成屋,仲介業,隱瞞重要資訊,未妥善處理，函告申訴人後續可行處理方式,
54,1030402,宏盛建設股份有限公司,買賣,預售屋,建商,終止委售或買賣契約,妥善處理，達成和解,
