住宅價格月指數類別,期別,月指數,季移動平均數,半年移動平均數,月指數變動率,季移動平均數變動率,半年移動平均數變動率,標準住宅總價（新台幣萬元）,標準住宅單價（新台幣萬元每坪）
全市,101/08,91.69,-,-,0%,-,-,1452,46.26
全市,101/09,91.27,-,-,-0.45%,-,-,1446,46.05
全市,101/10,91.43,91.46,-,0.17%,-,-,1448,46.13
全市,101/11,91.27,91.32,-,-0.17%,-0.15%,-,1446,46.04
全市,101/12,93.91,92.20,-,2.9%,0.96%,-,1488,47.38
全市,102/01,94.08,93.08,92.27,0.18%,0.96%,-,1490,47.46
全市,102/02,94.01,94.00,92.66,-0.07%,0.98%,0.42%,1489,47.43
全市,102/03,96.64,94.91,93.55,2.8%,0.97%,0.96%,1531,48.75
全市,102/04,98.25,96.30,94.69,1.67%,1.47%,1.22%,1556,49.57
全市,102/05,100.17,98.35,96.17,1.96%,2.13%,1.57%,1587,50.54
全市,102/06,100.33,99.59,97.25,0.16%,1.25%,1.11%,1589,50.62
全市,102/07,101.14,100.55,98.42,0.8%,0.97%,1.21%,1602,51.02
全市,102/08,103.19,101.55,99.95,2.03%,1.00%,1.56%,1635,52.06
全市,102/09,102.92,102.42,101.00,-0.26%,0.85%,1.05%,1630,51.93
全市,102/10,102.91,103.01,101.78,-0.01%,0.58%,0.77%,1630,51.92
全市,102/11,104.48,103.44,102.49,1.53%,0.42%,0.70%,1655,52.71
全市,102/12,105.16,104.18,103.30,0.65%,0.72%,0.78%,1666,53.05
全市,103/01,107.21,105.61,104.31,1.95%,1.38%,0.98%,1698,54.09
全市,103/02,107.07,106.48,104.96,-0.13%,0.82%,0.62%,1696,54.02
全市,103/03,107.26,107.18,105.68,0.18%,0.66%,0.69%,1699,54.11
全市,103/04,106.40,106.91,106.26,-0.8%,-0.25%,0.55%,1686,53.68
全市,103/05,108.60,107.42,106.95,2.07%,0.48%,0.65%,1720,54.79
全市,103/06,109.51,108.17,107.67,0.84%,0.70%,0.68%,1735,55.25
全市,103/07,109.16,109.09,108.00,-0.32%,0.85%,0.30%,1729,55.07
全市,103/08,108.19,108.95,108.19,-0.89%,-0.13%,0.17%,1714,54.58
全市,103/09,107.62,108.32,108.25,-0.53%,-0.58%,0.05%,1705,54.29
全市,103/10,107.20,107.67,108.38,-0.38%,-0.60%,0.12%,1698,54.08
全市,103/11,107.43,107.42,108.18,0.21%,-0.23%,-0.18%,1702,54.20
全市,103/12,106.79,107.14,107.73,-0.6%,-0.26%,-0.42%,1692,53.88
全市,104/01,106.66,106.96,107.31,-0.12%,-0.17%,-0.39%,1690,53.81
全市,104/02,106.36,106.60,107.01,-0.28%,-0.33%,-0.28%,1685,53.66
全市,104/03,104.94,105.99,106.57,-1.33%,-0.58%,-0.42%,1662,52.95
全市,104/04,105.82,105.71,106.34,0.84%,-0.26%,-0.22%,1676,53.39
全市,104/05,106.98,105.92,106.26,1.1%,0.20%,-0.07%,1695,53.97
全市,104/06,106.85,106.55,106.27,-0.12%,0.60%,0.01%,1693,53.91
全市,104/07,106.20,106.68,106.19,-0.61%,0.12%,-0.07%,1682,53.58
全市,104/08,106.67,106.57,106.25,0.44%,-0.10%,0.05%,1690,53.81
全市,104/09,104.85,105.91,106.23,-1.7%,-0.63%,-0.01%,1661,52.90
全市,104/10,102.80,104.77,105.73,-1.96%,-1.07%,-0.47%,1629,51.86
全市,104/11,101.41,103.02,104.80,-1.35%,-1.67%,-0.88%,1607,51.16
全市,104/12,101.67,101.96,103.93,0.25%,-1.03%,-0.82%,1611,51.29
全市,105/01,100.54,101.20,102.99,-1.11%,-0.74%,-0.91%,1593,50.72
全市,105/02,100.40,100.87,101.94,-0.14%,-0.33%,-1.01%,1590,50.65
全市,105/03,100.69,100.54,101.25,0.29%,-0.32%,-0.68%,1595,50.80
全市,105/04,100.60,100.56,100.88,-0.09%,0.02%,-0.36%,1594,50.75
全市,105/05,100.17,100.49,100.68,-0.43%,-0.08%,-0.21%,1587,50.54
全市,105/06,100.91,100.56,100.55,0.74%,0.07%,-0.13%,1599,50.91
全市,105/07,100.39,100.49,100.53,-0.51%,-0.07%,-0.02%,1590,50.65
全市,105/08,101.06,100.79,100.64,0.66%,0.30%,0.11%,1601,50.98
全市,105/09,100.26,100.57,100.57,-0.78%,-0.21%,-0.07%,1588,50.58
全市,105/10,100.80,100.71,100.60,0.53%,0.13%,0.03%,1597,50.85
全市,105/11,100.25,100.44,100.61,-0.55%,-0.27%,0.01%,1588,50.58
全市,105/12,99.14,100.06,100.32,-1.11%,-0.37%,-0.29%,1570,50.02
全市,106/01,98.27,99.22,99.96,-0.88%,-0.84%,-0.35%,1557,49.58
全市,106/02,98.84,98.75,99.59,0.58%,-0.47%,-0.37%,1566,49.87
全市,106/03,98.39,98.50,99.28,-0.46%,-0.25%,-0.31%,1559,49.64
全市,106/04,97.97,98.40,98.81,-0.42%,-0.10%,-0.47%,1552,49.43
全市,106/05,99.20,98.52,98.64,1.25%,0.12%,-0.18%,1571,50.05
全市,106/06,99.71,98.96,98.73,0.52%,0.45%,0.10%,1580,50.31
全市,106/07,99.99,99.64,99.02,0.28%,0.68%,0.29%,1584,50.45
全市,106/08,97.46,99.05,98.79,-2.54%,-0.58%,-0.23%,1544,49.17
全市,106/09,99.87,99.11,99.03,2.47%,0.05%,0.25%,1582,50.38
全市,106/10,97.94,98.42,99.03,-1.92%,-0.69%,-0.01%,1552,49.41
全市,106/11,99.94,99.25,99.15,2.03%,0.84%,0.12%,1583,50.42
全市,106/12,98.82,98.90,99.00,-1.12%,-0.35%,-0.15%,1565,49.86
全市,107/01,99.83,99.53,98.98,1.03%,0.64%,-0.03%,1582,50.37
全市,107/02,98.86,99.17,99.21,-0.98%,-0.36%,0.24%,1566,49.87
全市,107/03,98.31,99.00,98.95,-0.55%,-0.17%,-0.26%,1557,49.60
全市,107/04,98.92,98.70,99.11,0.62%,-0.31%,0.17%,1567,49.91
