"統計期","總用戶數[戶]","總用電量[千度]","每用戶用電量[度]","電燈用戶數[戶]","電燈用電量[千度]","電燈每用戶用電量[度]","電燈/包燈/用戶數[戶]","電燈/包燈/用電量[千度]","電燈/包燈/每用戶用電量[度]","電燈/包燈/一般用/用戶數[戶]","電燈/包燈/一般用/用電量[千度]","電燈/包燈/一般用/每用戶用電量[度]","電燈/包燈/公用路燈/用戶數[戶]","電燈/包燈/公用路燈/用電量[千度]","電燈/包燈/公用路燈/每用戶用電量[度]","電燈/表燈/用戶數[戶]","電燈/表燈/用電量[千度]","電燈/表燈/每用戶用電量[度]","電燈/表燈/營業用/用戶數[戶]","電燈/表燈/營業/用電量[千度]","電燈/表燈/營業/每用戶用電量[度]","電燈/表燈/非營業/用戶數[戶]","電燈/表燈/非營業/用電量[千度]","電燈/表燈/非營業用/每用戶用電量[度]","電力用戶數[戶]","電力用電量[千度]","電力每用戶用電量[度]","電力/包用/用戶數[戶]","電力/包用/用電量[千度]","電力/包用/每用戶用電量[度]","電力/表計/用戶數[戶]","電力/表計/用電量[千度]","電力/表計/每用戶用電量[度]","台電自用用電量[千度]"
"57年",221511,1190915,5759,212445,396127,1999,38,0,0,31,0,0,7,0,0,212407,396127,1999,0,0,0,0,0,0,9066,794788,91947,24,246,9107,9042,794542,92206,3270
"58年",238161,1357841,5908,228668,471749,2139,38,0,0,30,0,0,8,0,0,228630,471749,2139,0,0,0,0,0,0,9493,886093,95489,24,261,10858,9469,885832,95709,4336
"59年",293883,1774917,6672,282815,679273,2656,73,0,0,49,0,0,24,0,0,282742,679273,2657,0,0,0,0,0,0,11068,1095644,106575,36,490,16336,11032,1095153,106839,0
"60年",312445,1872042,6175,300931,785769,2692,69,22364,314992,44,757,16281,25,21607,881932,300862,763405,2616,0,0,0,0,0,0,11514,1086272,96207,36,330,9166,11478,1085942,96485,7882
"61年",340018,2092001,6413,327799,877204,2790,73,31657,445869,43,820,18857,30,30836,1121325,327726,845547,2690,0,0,0,0,0,0,12219,1214797,102372,37,344,9437,12182,1214453,102659,8188
"62年",361183,2367926,6754,348021,994630,2943,73,36965,506374,38,804,19852,35,36161,1112656,347948,957664,2835,0,0,0,0,0,0,13162,1373296,108215,36,450,12329,13126,1372846,108491,6955
"63年",391360,2288318,6082,377959,1015785,2798,74,38253,520455,36,909,24581,38,37344,1023122,377885,977532,2694,0,0,0,0,0,0,13401,1272533,95812,38,528,14282,13363,1272005,96040,6413
"64年",428199,2566705,6264,414712,1187690,2997,75,50417,676743,36,1059,29427,39,49358,1282025,414637,1137273,2870,0,0,0,0,0,0,13487,1379015,102575,38,564,14846,13449,1378451,102823,5728
"65年",452420,2878866,6538,438953,1350728,3165,61,71177,1046728,40,1130,29742,21,70047,2334910,438892,1279551,2998,0,0,0,0,0,0,13467,1528137,113389,38,578,15203,13429,1527560,113666,9070
"66年",487901,3118574,6633,474429,1492577,3268,62,77103,1253703,43,1139,27444,19,75964,3798190,474367,1415474,3100,0,0,0,0,0,0,13472,1625997,120717,39,605,15713,13433,1625392,121018,9760
"67年",528604,3424718,6738,514769,1722495,3483,62,85961,1386465,42,1136,26720,20,84825,4350013,514707,1636534,3309,0,0,0,0,0,0,13835,1702223,124673,38,608,15798,13797,1701615,124981,11788
"68年",562786,3568905,6540,548667,1795153,3376,69,87354,1333645,46,1134,25774,23,86220,4010218,548598,1707799,3212,0,0,0,0,0,0,14119,1773752,126905,38,603,15879,14081,1773149,127208,10615
"69年",602558,3651972,6268,588529,1884020,3313,212,85560,608970,158,2714,26612,54,82846,2151841,588317,1798459,3164,0,0,0,0,0,0,14029,1767952,125618,40,650,16667,13989,1767302,125921,11267
"70年",640020,3608459,5808,625849,1894830,3121,243,83106,365303,174,4474,26952,69,78632,1278577,625606,1811723,2985,0,0,0,0,0,0,14171,1713629,121534,40,783,19571,14131,1712847,121824,11768
